Most negative lemmas,Most positive lemmas
"('oath', 1.0)","('snapdragon', 5.0)"
"('shalt', 1.0)","('ife', 5.0)"
"('unprofessionalism', 1.1666666666666667)","('amelia', 5.0)"
"('crusher', 1.2857142857142858)","('quan', 5.0)"
"('argumentative', 1.2941176470588236)","('acupuncture', 4.972222222222222)"
"('authorize', 1.3)","('kent', 4.9411764705882355)"
"('voided', 1.3)","('oratory', 4.9375)"
"('unethical', 1.3513513513513513)","('shavery', 4.933333333333334)"
"('shi', 1.4)","('physique', 4.923076923076923)"
"('unkind', 1.4)","('lilac', 4.916666666666667)"
"('violently', 1.4285714285714286)","('ariel', 4.9)"
"('disrespectful', 1.4322033898305084)","('lori', 4.895833333333333)"
"('despicable', 1.4545454545454546)","('bracken', 4.888888888888889)"
"('livid', 1.4594594594594594)","('shelly', 4.875)"
"('negligence', 1.4705882352941178)","('noel', 4.857142857142857)"
"('inexcusable', 1.488888888888889)","('chaka', 4.857142857142857)"
"('incompetent', 1.4901960784313726)","('simulator', 4.85)"
"('fraud', 1.4901960784313726)","('nougat', 4.846153846153846)"
"('disgusted', 1.4946808510638299)","('dexter', 4.842105263157895)"
"('unconcerned', 1.5)","('choir', 4.833333333333333)"
"('refund', 1.5114709851551957)","('boudoir', 4.823529411764706)"
"('uneatable', 1.5263157894736843)","('muzzle', 4.8)"
"('gall', 1.5294117647058822)","('moulin', 4.8)"
"('disturbingly', 1.5454545454545454)","('tay', 4.8)"
"('authorization', 1.55)","('reina', 4.8)"
"('discrimination', 1.5555555555555556)","('feline', 4.7894736842105265)"
"('sarcastically', 1.56)","('euphoric', 4.7894736842105265)"
"('unprofessional', 1.5603448275862069)","('nationally', 4.769230769230769)"
"('incompetence', 1.5614035087719298)","('limu', 4.764705882352941)"
"('dishwater', 1.5714285714285714)","('am', 4.75)"
"('feces', 1.5769230769230769)","('henna', 4.75)"
"('unmelted', 1.5833333333333333)","('unrivaled', 4.75)"
"('liar', 1.5918367346938775)","('infectious', 4.7368421052631575)"
"('scum', 1.5925925925925926)","('effortless', 4.7368421052631575)"
"('infraction', 1.6)","('waxer', 4.7272727272727275)"
"('disgrace', 1.6097560975609757)","('miraculous', 4.7272727272727275)"
"('furious', 1.6233766233766234)","('layman', 4.7272727272727275)"
"('accused', 1.625)","('toxin', 4.7272727272727275)"
"('carelessness', 1.6363636363636365)","('masterful', 4.72)"
"('disgraceful', 1.6363636363636365)","('perfectionist', 4.717391304347826)"
"('fuming', 1.6428571428571428)","('airbrush', 4.714285714285714)"
"('deceitful', 1.6470588235294117)","('rainfall', 4.7)"
"('bedbug', 1.6538461538461537)","('thorn', 4.7)"
"('uncalled', 1.6666666666666667)","('patel', 4.7)"
"('scam', 1.6666666666666667)","('rehabilitation', 4.7)"
"('rudely', 1.6712962962962963)","('keepsake', 4.7)"
"('worst', 1.6713182897862233)","('immerse', 4.7)"
"('rancid', 1.681159420289855)","('obedience', 4.6923076923076925)"
"('sham', 1.6818181818181819)","('splinter', 4.6923076923076925)"
"('negligent', 1.6875)","('emulsion', 4.6923076923076925)"
"('unhelpful', 1.6893203883495145)","('hydration', 4.6875)"
"('reimbursement', 1.6923076923076923)","('passionate', 4.685)"
